t	pid	rss_kb	cmd
0	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
0	9262	10508	postgres: autovacuum launcher
0	9263	9676	postgres: logical replication launcher
1	9272	276640	postgres: pg postgres [local] SELECT
1	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
1	9262	10508	postgres: autovacuum launcher
2	9272	532384	postgres: pg postgres [local] SELECT
2	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
2	9262	10508	postgres: autovacuum launcher
3	9272	778016	postgres: pg postgres [local] SELECT
3	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
3	9262	10508	postgres: autovacuum launcher
4	9272	981920	postgres: pg postgres [local] SELECT
4	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
4	9262	10508	postgres: autovacuum launcher
5	9272	1109664	postgres: pg postgres [local] SELECT
5	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
5	9262	10508	postgres: autovacuum launcher
6	9272	1229984	postgres: pg postgres [local] SELECT
6	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
6	9262	10508	postgres: autovacuum launcher
7	9272	1386528	postgres: pg postgres [local] SELECT
7	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
7	9262	10508	postgres: autovacuum launcher
8	9272	1566880	postgres: pg postgres [local] SELECT
8	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
8	9262	10508	postgres: autovacuum launcher
9	9272	1754272	postgres: pg postgres [local] SELECT
9	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
9	9262	10508	postgres: autovacuum launcher
10	9272	1911456	postgres: pg postgres [local] SELECT
10	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
10	9262	10508	postgres: autovacuum launcher
11	9272	2013984	postgres: pg postgres [local] SELECT
11	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
11	9262	10508	postgres: autovacuum launcher
12	9272	2092320	postgres: pg postgres [local] SELECT
12	9254	32284	/home/pg/install/bin/postgres -D /home/pg/data -k /tmp
