t	worker_pid	rss_kb
0	9447	1868
1	9452	1868
2	9456	1868
3	9460	1868
4	9464	1868
5	9468	1868
6	9472	1868
7	9476	1868
8	9480	1864
9	9484	1868
10	9488	1852
11	9492	1868
12	9496	1856
13	9500	1868
14	9504	1868
15	9508	1868
16	9512	1868
17	9516	1868
18	9520	1868
19	9524	1856
20	9528	1868
21	9532	1868
22	9536	1868
23	9540	1868
24	9544	1868
25	9548	1868
26	9562	1868
27	9566	1868
28	9570	1932
29	9574	1868
30	9577	21132
30	9578	21192
30	9579	20920
30	9580	21208
30	9582	1868
31	9577	32936
31	9578	33204
31	9579	32680
31	9580	32920
31	9586	1868
32	9577	34056
32	9578	34348
32	9579	33832
32	9580	33868
32	9590	1860
33	9577	34892
33	9578	35216
33	9579	34696
33	9580	34808
33	9594	1868
34	9577	35472
34	9578	35804
34	9579	35088
34	9580	35272
34	9598	1868
35	9577	36112
35	9578	36444
35	9579	35600
35	9580	35912
35	9602	1868
36	9577	36624
36	9578	36956
36	9579	36112
36	9580	36424
36	9606	1868
37	9577	37112
37	9578	37472
37	9579	36600
37	9580	37068
37	9610	1864
38	9577	37624
38	9578	38112
38	9579	37240
38	9580	37580
38	9614	1868
39	9577	38280
39	9578	38768
39	9579	38024
39	9580	38364
39	9618	1868
40	9577	38580
40	9578	38940
40	9579	38152
40	9580	38492
40	9622	1868
41	9577	38580
41	9578	38940
41	9579	38152
41	9580	38492
41	9626	1868
42	9577	38580
42	9578	38940
42	9579	38152
42	9580	38492
42	9631	1868
43	9577	38580
43	9578	38940
43	9579	38152
43	9580	38492
43	9635	1868
44	9577	38580
44	9578	38940
44	9579	38152
44	9580	38492
44	9639	1868
45	9577	38580
45	9578	38940
45	9579	38152
45	9580	38492
45	9644	1868
46	9577	38580
46	9578	38940
46	9579	38152
46	9580	38492
46	9648	1868
47	9577	38580
47	9578	38940
47	9579	38152
47	9580	38492
47	9652	1864
48	9577	38580
48	9578	39068
48	9579	38152
48	9580	38492
48	9657	1868
49	9577	38708
49	9578	39068
49	9579	38280
49	9580	38492
49	9661	1868
50	9577	38708
50	9578	39068
50	9579	38280
50	9580	38492
50	9665	1868
51	9577	38708
51	9578	39068
51	9579	38280
51	9580	38492
51	9669	1868
52	9577	38708
52	9578	39068
52	9579	38280
52	9580	38492
52	9673	1860
53	9577	38708
53	9578	39068
53	9579	38280
53	9580	38492
53	9677	1868
54	9577	38708
54	9578	39068
54	9579	38280
54	9580	38492
54	9681	1868
55	9577	38708
55	9578	39068
55	9579	38280
55	9580	38492
55	9685	1868
56	9577	38708
56	9578	39068
56	9579	38280
56	9580	38492
56	9689	1868
57	9577	38708
57	9578	39068
57	9579	38280
57	9580	38492
57	9694	1860
58	9577	38708
58	9578	39068
58	9579	38280
58	9580	38492
58	9698	1868
59	9577	38708
59	9578	39068
59	9579	38280
59	9580	38492
59	9702	1868
60	9577	38708
60	9578	39068
60	9579	38280
60	9580	38492
60	9706	1868
61	9577	38708
61	9578	39068
61	9579	38280
61	9580	38492
61	9710	1852
62	9577	38708
62	9578	39068
62	9579	38280
62	9580	38492
62	9714	1868
63	9577	38708
63	9578	39068
63	9579	38280
63	9580	38492
63	9718	1868
64	9577	38708
64	9578	39068
64	9579	38280
64	9580	38492
64	9722	1868
65	9577	38708
65	9578	39068
65	9579	38280
