name,ident,type,level,total_bytes
CFuncHash,,AllocSet,2,8192
COPY,,AllocSet,4,32768
COPY TO,,AllocSet,4,8192
CacheMemoryContext,,AllocSet,2,1048576
Caller tuples,,Bump,8,8080
ErrorContext,,AllocSet,2,8192
ExecutorState,,AllocSet,5,49216
ExprContext,,AllocSet,6,65536
GUC hash table,,AllocSet,3,32768
GUCMemoryContext,,AllocSet,2,24576
LOCALLOCK hash,,AllocSet,2,8192
Map from relid to OID of cached composite type,,AllocSet,2,8192
MdSmgr,,AllocSet,2,8192
MessageContext,,AllocSet,2,8192
Operator class cache,,AllocSet,2,8192
PLpgSQL cast expressions,,AllocSet,2,8192
PgStat Pending,,AllocSet,2,16384
PgStat Shared Ref,,AllocSet,2,8192
PgStat Shared Ref Hash,,AllocSet,2,9280
Portal hash,,AllocSet,2,8192
PortalContext,<unnamed>,AllocSet,3,4096
Record information cache,,AllocSet,2,8192
Relcache by OID,,AllocSet,2,16384
Rendezvous variable hash,,AllocSet,2,8192
RowDescriptionContext,,AllocSet,2,8192
Table function arguments,,AllocSet,6,8192
TableSpace cache,,AllocSet,2,8192
Timezones,,AllocSet,2,104128
TopMemoryContext,,AllocSet,1,124064
TopPortalContext,,AllocSet,2,8192
TopTransactionContext,,AllocSet,2,8192
TransactionAbortContext,,AllocSet,2,32768
TupleSort main,,AllocSet,6,32832
TupleSort sort,,AllocSet,7,8192
Type information cache,,AllocSet,2,24640
WAL record construction,,AllocSet,2,50216
index info,pg_statistic_ext_relid_index,AllocSet,3,2048
index info,pg_class_tblspc_relfilenode_index,AllocSet,3,3072
index info,pg_index_indrelid_index,AllocSet,3,2048
index info,pg_db_role_setting_databaseid_rol_index,AllocSet,3,3072
index info,pg_opclass_am_name_nsp_index,AllocSet,3,3072
index info,pg_propgraph_element_oid_index,AllocSet,3,1024
index info,pg_statistic_relid_att_inh_index,AllocSet,3,3072
index info,pg_cast_source_target_index,AllocSet,3,3072
index info,pg_language_name_index,AllocSet,3,2048
index info,pg_transform_oid_index,AllocSet,3,1024
index info,pg_collation_oid_index,AllocSet,3,1024
index info,pg_amop_fam_strat_index,AllocSet,3,2240
index info,pg_index_indexrelid_index,AllocSet,3,2048
index info,pg_ts_template_tmplname_index,AllocSet,3,3072
index info,pg_ts_config_map_index,AllocSet,3,3072
index info,pg_propgraph_property_oid_index,AllocSet,3,1024
index info,pg_opclass_oid_index,AllocSet,3,2048
index info,pg_foreign_data_wrapper_oid_index,AllocSet,3,1024
index info,pg_propgraph_label_graph_name_index,AllocSet,3,3072
index info,pg_publication_namespace_oid_index,AllocSet,3,1024
index info,pg_propgraph_element_label_element_label_index,AllocSet,3,3072
index info,pg_event_trigger_evtname_index,AllocSet,3,1024
index info,pg_statistic_ext_name_index,AllocSet,3,3072
index info,pg_publication_oid_index,AllocSet,3,1024
index info,pg_ts_dict_oid_index,AllocSet,3,1024
index info,pg_propgraph_label_oid_index,AllocSet,3,1024
index info,pg_event_trigger_oid_index,AllocSet,3,1024
index info,pg_conversion_default_index,AllocSet,3,2240
